cohort_key,cohort_label,cohort,window,endpoint_family,endpoint_label,n_subjects,n_pos,n_neg,pos_rate,available_demo_features,available_severity_features,auc_ref,auc_severity,auc_demo,auc_minus_all_cdr,auc_minus_fullstrip,severity_retention_auc_frac,demo_retention_auc_frac,full_strip_retention_auc_frac,cdr_block_drop_auc,full_strip_drop_auc,moca_unique_drop_auc,faq_unique_drop_auc,cdr_global_unique_drop_auc,cdr_sumboxes_unique_drop_auc,severity_minus_demo_auc,note,table_source
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,547,84,463,0.1535648994515539,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|sex_h,cdr_sumboxes_h|faq_total_h,0.85958151142645,0.854534657481506,0.7409018095316668,0.7633212331215796,0.7409018095316668,0.99412870812383,0.8619331612916642,0.8619331612916642,0.0962602783048703,0.1186797018947831,,0.0015053075928829,,,0.1136328479498391,Matched-feature rerun using only shared ADNI/OASIS harmonized columns.,matched_feature_rerun
adni_tau90,ADNI tau90,ADNI,90d,tau_binary,tau positivity,438,78,360,0.1780821917808219,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|sex_h,cdr_sumboxes_h|faq_total_h,0.8512152777777777,0.8378240740740741,0.7429513888888889,0.7576273148148147,0.7429513888888889,0.9842681351553472,0.872812563736488,0.872812563736488,0.093587962962963,0.1082638888888888,,0.0003124999999999,,,0.0948726851851852,Matched-feature rerun using only shared ADNI/OASIS harmonized columns.,matched_feature_rerun
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),368,45,323,0.1222826086956521,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|sex_h,cdr_sumboxes_h|faq_total_h,0.9328151709401707,0.8135042735042735,0.792809829059829,0.864241452991453,0.792809829059829,0.8720958865670616,0.8499109510201978,0.8499109510201978,0.0685737179487178,0.1400053418803418,,0.0003365384615384,,,0.0206944444444444,Matched-feature rerun using only shared ADNI/OASIS harmonized columns.,matched_feature_rerun
