cohort_key,cohort_label,cohort,window,endpoint_family,endpoint_label,n_subjects,n_pos,n_neg,pos_rate,available_demo_features,available_severity_features,auc_ref,auc_severity,auc_demo,auc_minus_all_cdr,auc_minus_fullstrip,severity_retention_auc_frac,demo_retention_auc_frac,full_strip_retention_auc_frac,cdr_block_drop_auc,full_strip_drop_auc,moca_unique_drop_auc,faq_unique_drop_auc,cdr_global_unique_drop_auc,cdr_sumboxes_unique_drop_auc,severity_minus_demo_auc,note,table_source
oasis3_tau90,OASIS3 tau90,OASIS3,90d,tau_binary,tau positivity (derived),142,12,130,0.0845070422535211,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|sex_h,cdr_sumboxes_h|faq_total_h,0.935897435897436,0.8532051282051283,0.7307692307692307,0.8461538461538461,0.7307692307692307,0.9116438356164384,0.7808219178082191,0.7808219178082191,0.0897435897435897,0.2051282051282051,,0.0102564102564103,,,0.1224358974358975,Matched-feature rerun using only shared ADNI/OASIS harmonized columns.,matched_feature_rerun
nacc_strict_at_main,NACC strict A/T main,NACC,90d,strict_AT_binary,strict A+/T+ vs A-/T-,413,109,304,0.2639225181598063,age|education_years|apoe_e4_count|apoe_e4_carrier|sex,cdr_global|cdr_sumboxes|faq_total|moca,0.9279096586473636,0.9008225108225107,0.7956505925768221,0.9214935064935064,0.87006919310198,0.9708084213022004,0.8574655788545851,0.9376658438605984,0.0064161521538572,0.0578404655453835,0.006325314030232,-0.000711092186502,0.0013799588389752,-0.0016599247746788,0.1051719182456886,Different endpoint family from ADNI/OASIS. Reference and demo rows include tau_tracer in current NACC main outputs.,existing_nacc_summary
