cohort_key,cohort_label,endpoint_label,N,n_pos,n_neg,pos_rate_pct,female_n,female_pct,age_mean,age_sd,education_mean,education_sd,apoe_e4_carrier_n,apoe_e4_carrier_pct,cdrsb_mean,cdrsb_sd,cdrsb0_n,cdrsb0_pct,faq_mean,faq_sd,group,source_csv
adni_tau90,ADNI tau90,tau positivity,438,78,360,17.80821917808219,245,55.93607305936073,72.90056538493995,7.683469598864825,16.458904109589042,2.384523072584991,175,40.79254079254079,1.1938073394495412,1.931810704308096,215,49.31192660550459,2.69375,5.653514379814319,primary,/project/aereditato/abhat/ADNI/ARC_06Mar2026/output/severity_strip_tau90/subject_level_input_table.csv
adni_tau180,ADNI tau180,tau positivity,547,84,463,15.356489945155394,319,58.318098720292504,72.77613314864102,7.866378168935516,16.413162705667276,2.3799472200411667,209,39.50850661625709,1.1018348623853211,1.8784762701933286,282,51.74311926605505,2.4154589371980677,5.448911235061322,primary,/project/aereditato/abhat/ADNI/ARC_06Mar2026/output/severity_strip_tau180/subject_level_input_table.csv
oasis3_tau180,OASIS3 tau180,tau positivity (derived),368,45,323,12.228260869565217,207,56.25,69.43907608695652,8.405445925999611,16.342391304347824,2.401667617531887,149,40.59945504087194,0.3736413043478261,1.1090098200956535,311,84.51086956521739,3.002724795640327,5.935674602971565,primary,/project/aereditato/abhat/oasis/phase2_tau/severity_strip_tau180/subject_level_input_table.csv
oasis3_tau90,OASIS3 tau90,tau positivity (derived),142,12,130,8.450704225352112,82,57.74647887323944,68.90950704225352,7.998890998262054,16.330985915492956,2.410737890585616,57,40.140845070422536,0.2852112676056338,0.9535262798669806,126,88.73239436619718,3.2183098591549295,6.342601874751735,supplementary,/project/aereditato/abhat/oasis/phase2_tau/severity_strip_tau90/subject_level_input_table.csv
