cohort_key,cohort_label,cohort,window,endpoint_family,endpoint_label,n_subjects,n_pos,n_neg,pos_rate,available_demo_features,available_severity_features,auc_ref,auc_severity,auc_demo,auc_minus_all_cdr,auc_minus_moca,auc_minus_faq,auc_minus_cdr_global,auc_minus_cdr_sumboxes,auc_minus_fullstrip,severity_retention_auc_frac,demo_retention_auc_frac,full_strip_retention_auc_frac,cdr_block_drop_auc,full_strip_drop_auc,moca_unique_drop_auc,faq_unique_drop_auc,cdr_global_unique_drop_auc,cdr_sumboxes_unique_drop_auc,severity_minus_demo_auc,note
adni_tau90,ADNI tau90,ADNI,90d,tau_binary,tau positivity,438,78,360,0.1780821917808219,age_h|education_years_h|apoe_e4_count_h|apoe_e4_carrier_h|sex_h,cdr_global_h|cdr_sumboxes_h|faq_total_h|moca_h,0.8687847222222222,0.8401909722222223,0.7429513888888889,0.7429513888888889,0.8687847222222222,0.8687847222222222,0.85,0.8656712962962965,0.7429513888888889,0.9670876463770434,0.8551616642020703,0.8551616642020703,0.12583333333333335,0.12583333333333335,0.0,0.0,0.018784722222222272,0.0031134259259257835,0.09723958333333338,
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,547,84,463,0.15356489945155394,age_h|education_years_h|apoe_e4_count_h|apoe_e4_carrier_h|sex_h,cdr_global_h|cdr_sumboxes_h|faq_total_h|moca_h,0.880395938178918,0.8560597310452932,0.7409018095316668,0.7409018095316668,0.880395938178918,0.880395938178918,0.8588304045320794,0.8750051563402359,0.7409018095316668,0.9723576562791012,0.8415552337329133,0.8415552337329133,0.1394941286472512,0.1394941286472512,0.0,0.0,0.021565533646838664,0.005390781838682135,0.11515792151362636,
oasis3_tau90,OASIS3 tau90,OASIS3,90d,tau_binary,tau positivity (derived),142,12,130,0.08450704225352113,age_h|education_years_h|apoe_e4_count_h|apoe_e4_carrier_h|sex_h,cdr_sumboxes_h|faq_total_h,0.935897435897436,0.8532051282051283,0.7307692307692307,0.8461538461538461,,0.9256410256410256,,0.8461538461538461,0.7307692307692307,0.9116438356164384,0.7808219178082191,0.7808219178082191,0.08974358974358987,0.2051282051282053,,0.010256410256410442,,0.08974358974358987,0.12243589743589756,
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),368,45,323,0.12228260869565218,age_h|education_years_h|apoe_e4_count_h|apoe_e4_carrier_h|sex_h,cdr_sumboxes_h|faq_total_h,0.9328151709401707,0.8135042735042735,0.792809829059829,0.864241452991453,,0.9324786324786324,,0.864241452991453,0.792809829059829,0.8720958865670617,0.8499109510201979,0.8499109510201979,0.0685737179487177,0.14000534188034175,,0.0003365384615383604,,0.0685737179487177,0.02069444444444446,
nacc_strict_at_main,NACC strict A/T main,NACC,90d,strict_AT_binary,strict A+/T+ vs A-/T-,413,109,304,0.2639225181598063,age|education_years|apoe_e4_count|apoe_e4_carrier|sex,cdr_global|cdr_sumboxes|faq_total|moca,0.9279096586473636,0.9008225108225107,0.7956505925768221,0.9214935064935064,0.9215843446171316,0.9286207508338656,0.9265296998083884,0.9295695834220424,0.87006919310198,0.9708084213022004,0.8574655788545851,0.9376658438605985,0.0064161521538572686,0.05784046554538358,0.006325314030232065,-0.0007110921865020048,0.001379958838975237,-0.0016599247746788004,0.10517191824568861,Different endpoint family from ADNI/OASIS. Reference and demo rows include tau_tracer in current NACC main outputs.
