cohort_key,cohort_label,cohort,window,endpoint_family,endpoint_label,n_subjects,n_pos,n_neg,pos_rate,available_demo_features,available_severity_features,auc_ref,auc_severity,auc_demo,auc_minus_all_cdr,auc_minus_moca,auc_minus_faq,auc_minus_cdr_global,auc_minus_cdr_sumboxes,auc_minus_fullstrip,severity_retention_auc_frac,demo_retention_auc_frac,full_strip_retention_auc_frac,cdr_block_drop_auc,full_strip_drop_auc,moca_unique_drop_auc,faq_unique_drop_auc,cdr_global_unique_drop_auc,cdr_sumboxes_unique_drop_auc,severity_minus_demo_auc,note
adni_tau90,ADNI tau90,ADNI,90d,tau_binary,tau positivity,438,78,360,0.1780821917808219,age_h|education_years_h|apoe_e4_count_h|apoe_e4_carrier_h|sex_h,cdr_global_h|cdr_sumboxes_h|faq_total_h|moca_h,0.8687847222222222,0.8401909722222223,0.7429513888888889,0.7429513888888889,0.8687847222222222,0.8687847222222222,0.85,0.8656712962962965,0.7429513888888889,0.9670876463770434,0.8551616642020703,0.8551616642020703,0.12583333333333335,0.12583333333333335,0.0,0.0,0.018784722222222272,0.0031134259259257835,0.09723958333333338,
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,547,84,463,0.15356489945155394,age_h|education_years_h|apoe_e4_count_h|apoe_e4_carrier_h|sex_h,cdr_global_h|cdr_sumboxes_h|faq_total_h|moca_h,0.880395938178918,0.8560597310452932,0.7409018095316668,0.7409018095316668,0.880395938178918,0.880395938178918,0.8588304045320794,0.8750051563402359,0.7409018095316668,0.9723576562791012,0.8415552337329133,0.8415552337329133,0.1394941286472512,0.1394941286472512,0.0,0.0,0.021565533646838664,0.005390781838682135,0.11515792151362636,
oasis3_tau90,OASIS3 tau90,OASIS3,90d,tau_binary,tau positivity (derived),142,12,130,0.08450704225352113,age_h|education_years_h|apoe_e4_count_h|apoe_e4_carrier_h|sex_h,cdr_sumboxes_h|faq_total_h,0.935897435897436,0.8532051282051283,0.7307692307692307,0.8461538461538461,,0.9256410256410256,,0.8461538461538461,0.7307692307692307,0.9116438356164384,0.7808219178082191,0.7808219178082191,0.08974358974358987,0.2051282051282053,,0.010256410256410442,,0.08974358974358987,0.12243589743589756,
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),368,45,323,0.12228260869565218,age_h|education_years_h|apoe_e4_count_h|apoe_e4_carrier_h|sex_h,cdr_sumboxes_h|faq_total_h,0.9328151709401707,0.8135042735042735,0.792809829059829,0.864241452991453,,0.9324786324786324,,0.864241452991453,0.792809829059829,0.8720958865670617,0.8499109510201979,0.8499109510201979,0.0685737179487177,0.14000534188034175,,0.0003365384615383604,,0.0685737179487177,0.02069444444444446,
