cohort_key,cohort_label,cohort,window,endpoint_family,endpoint_label,n_subjects,n_pos,n_neg,pos_rate,available_demo_features,available_severity_features,auc_ref,auc_severity,auc_demo,auc_minus_all_cdr,auc_minus_moca,auc_minus_faq,auc_minus_cdr_global,auc_minus_cdr_sumboxes,auc_minus_fullstrip,severity_retention_auc_frac,demo_retention_auc_frac,full_strip_retention_auc_frac,cdr_block_drop_auc,full_strip_drop_auc,moca_unique_drop_auc,faq_unique_drop_auc,cdr_global_unique_drop_auc,cdr_sumboxes_unique_drop_auc,severity_minus_demo_auc,note
adni_tau180,ADNI tau180,ADNI,180d,tau_binary,tau positivity,547,84,463,0.15356489945155394,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|sex_h,cdr_sumboxes_h|faq_total_h,0.85958151142645,0.854534657481506,0.7409018095316668,0.7633212331215796,,0.8580762038335671,,,0.7409018095316668,0.99412870812383,0.8619331612916642,0.8619331612916642,0.09626027830487038,0.11867970189478316,,0.0015053075928829207,,,0.11363284794983919,Matched-feature rerun using only shared ADNI/OASIS harmonized columns.
adni_tau90,ADNI tau90,ADNI,90d,tau_binary,tau positivity,438,78,360,0.1780821917808219,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|sex_h,cdr_sumboxes_h|faq_total_h,0.8512152777777777,0.8378240740740741,0.7429513888888889,0.7576273148148147,,0.8509027777777778,,,0.7429513888888889,0.9842681351553472,0.872812563736488,0.872812563736488,0.09358796296296301,0.10826388888888883,,0.00031249999999993783,,,0.09487268518518521,Matched-feature rerun using only shared ADNI/OASIS harmonized columns.
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),368,45,323,0.12228260869565218,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|sex_h,cdr_sumboxes_h|faq_total_h,0.9328151709401709,0.8135042735042735,0.792809829059829,0.864241452991453,,0.9324786324786324,,,0.792809829059829,0.8720958865670616,0.8499109510201978,0.8499109510201978,0.0685737179487178,0.14000534188034186,,0.00033653846153847145,,,0.02069444444444446,Matched-feature rerun using only shared ADNI/OASIS harmonized columns.
oasis3_tau90,OASIS3 tau90,OASIS3,90d,tau_binary,tau positivity (derived),142,12,130,0.08450704225352113,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|sex_h,cdr_sumboxes_h|faq_total_h,0.9358974358974359,0.8532051282051283,0.7307692307692307,0.8461538461538461,,0.9256410256410256,,,0.7307692307692307,0.9116438356164385,0.7808219178082191,0.7808219178082191,0.08974358974358976,0.20512820512820518,,0.010256410256410331,,,0.12243589743589756,Matched-feature rerun using only shared ADNI/OASIS harmonized columns.
