cohort_key,cohort_label,cohort,window,endpoint_family,endpoint_label,experiment,model,n_rows,n_subjects,n_pos,n_neg,n_features_used,numeric_features_used,categorical_features_used,roc_auc_mean,roc_auc_std,ap_mean,ap_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),minus_all_cdr,logreg_balanced,368,368,45,323,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|faq_total_h,sex_h,0.864241452991453,0.03699031473871613,0.5186421988363517,0.10902439759912837,0.7769364316239317,0.05313821205809321,0.47682676224611703,0.0671147548809007
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),minus_all_cdr,extra_trees_balanced,368,368,45,323,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|faq_total_h,sex_h,0.8443963675213675,0.036264988173066254,0.4725849327851056,0.11767959625087013,0.7801095085470087,0.03955289742484266,0.4814688603410713,0.052170912416992274
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),minus_all_cdr,random_forest_balanced,368,368,45,323,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|faq_total_h,sex_h,0.8364529914529915,0.03239372969870596,0.41859696615733766,0.06446212774299971,0.6257986111111111,0.04093832556609069,0.3282931867399633,0.06991818199962202
