cohort_key,cohort_label,cohort,window,endpoint_family,endpoint_label,experiment,model,n_rows,n_subjects,n_pos,n_neg,n_features_used,numeric_features_used,categorical_features_used,roc_auc_mean,roc_auc_std,ap_mean,ap_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),severity_only,random_forest_balanced,368,368,45,323,2,cdr_sumboxes_h|faq_total_h,,0.8135042735042735,0.0603324807188609,0.5493332789917229,0.0691362256169281,0.7738995726495725,0.07962045393571619,0.5767965367965369,0.11921125314439883
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),severity_only,logreg_balanced,368,368,45,323,2,cdr_sumboxes_h|faq_total_h,,0.7987366452991452,0.10005938710004612,0.6041777971296309,0.11160217379656948,0.7594417735042734,0.0777050597239724,0.5676190476190476,0.10956107026637622
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),severity_only,extra_trees_balanced,368,368,45,323,2,cdr_sumboxes_h|faq_total_h,,0.7755822649572649,0.0983517704943273,0.5516383157858683,0.10216856995041829,0.7850106837606837,0.08903050548933167,0.5860606060606062,0.11915835856915885
