cohort_key,cohort_label,cohort,window,endpoint_family,endpoint_label,experiment,model,n_rows,n_subjects,n_pos,n_neg,n_features_used,numeric_features_used,categorical_features_used,roc_auc_mean,roc_auc_std,ap_mean,ap_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),reference_combined,logreg_balanced,368,368,45,323,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.9328151709401709,0.027710839382683105,0.7030706827031217,0.0634528511434911,0.8398130341880343,0.06397060759402377,0.5790281385281385,0.07379017671813827
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),reference_combined,random_forest_balanced,368,368,45,323,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.9073023504273504,0.029748085102747335,0.6064165338574187,0.026378841528383337,0.7521688034188034,0.048809864184380936,0.5054834054834055,0.06517767728367577
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),reference_combined,extra_trees_balanced,368,368,45,323,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.8942361111111111,0.036961343660578815,0.5999516240156337,0.07797935492448266,0.8033306623931624,0.04396225826194839,0.5454428341384864,0.08001728607324135
