cohort_key,cohort_label,cohort,window,endpoint_family,endpoint_label,experiment,model,n_rows,n_subjects,n_pos,n_neg,n_features_used,numeric_features_used,categorical_features_used,roc_auc_mean,roc_auc_std,ap_mean,ap_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),minus_faq,logreg_balanced,368,368,45,323,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h,sex_h,0.9324786324786324,0.02708277490615985,0.6990137361112779,0.06052613967390269,0.8428899572649573,0.06557912227947701,0.5885942760942761,0.0785577248623057
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),minus_faq,random_forest_balanced,368,368,45,323,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h,sex_h,0.9052884615384615,0.02534804122225711,0.5748782950795335,0.0342862939003444,0.7648904914529915,0.07039273537709106,0.5163458110516934,0.0886576900557308
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),minus_faq,extra_trees_balanced,368,368,45,323,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h,sex_h,0.8956837606837607,0.024128337444874866,0.5809201814418904,0.0906553697907909,0.8191292735042734,0.0196431944688237,0.5679595766552288,0.05315668348679825
