cohort_key,cohort_label,cohort,window,endpoint_family,endpoint_label,experiment,model,n_rows,n_subjects,n_pos,n_neg,n_features_used,numeric_features_used,categorical_features_used,roc_auc_mean,roc_auc_std,ap_mean,ap_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),demo_only,logreg_balanced,368,368,45,323,5,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h,sex_h,0.792809829059829,0.0591194718447458,0.44510320501835166,0.125381658072323,0.7247275641025641,0.05983942587529744,0.41846759547055734,0.06960536620770935
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),demo_only,random_forest_balanced,368,368,45,323,5,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h,sex_h,0.7803365384615384,0.021856193584558533,0.3734633369051502,0.05584504945894798,0.6651842948717949,0.03824743611887277,0.3819857335646809,0.05648887193682923
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),demo_only,extra_trees_balanced,368,368,45,323,5,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h,sex_h,0.7748076923076923,0.029545371787859456,0.42071560614052556,0.10461650144509567,0.7196447649572649,0.036293572011539224,0.4335757575757576,0.06030421804829988
