cohort_key,cohort_label,cohort,window,endpoint_family,endpoint_label,experiment,model,n_rows,n_subjects,n_pos,n_neg,n_features_used,numeric_features_used,categorical_features_used,roc_auc_mean,roc_auc_std,ap_mean,ap_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),reference_combined,logreg_balanced,368,368,45,323,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.9328151709401709,0.027710839382683105,0.7030706827031217,0.0634528511434911,0.8398130341880343,0.06397060759402377,0.5790281385281385,0.07379017671813827
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),reference_combined,random_forest_balanced,368,368,45,323,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.9073023504273504,0.029748085102747335,0.6064165338574187,0.026378841528383337,0.7521688034188034,0.048809864184380936,0.5054834054834055,0.06517767728367577
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),reference_combined,extra_trees_balanced,368,368,45,323,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.8942361111111111,0.036961343660578815,0.5999516240156337,0.07797935492448266,0.8033306623931624,0.04396225826194839,0.5454428341384864,0.08001728607324135
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),demo_only,logreg_balanced,368,368,45,323,5,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h,sex_h,0.792809829059829,0.0591194718447458,0.44510320501835166,0.125381658072323,0.7247275641025641,0.05983942587529744,0.41846759547055734,0.06960536620770935
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),demo_only,random_forest_balanced,368,368,45,323,5,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h,sex_h,0.7803365384615384,0.021856193584558533,0.3734633369051502,0.05584504945894798,0.6651842948717949,0.03824743611887277,0.3819857335646809,0.05648887193682923
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),demo_only,extra_trees_balanced,368,368,45,323,5,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h,sex_h,0.7748076923076923,0.029545371787859456,0.42071560614052556,0.10461650144509567,0.7196447649572649,0.036293572011539224,0.4335757575757576,0.06030421804829988
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),severity_only,random_forest_balanced,368,368,45,323,2,cdr_sumboxes_h|faq_total_h,,0.8135042735042735,0.0603324807188609,0.5493332789917229,0.0691362256169281,0.7738995726495725,0.07962045393571619,0.5767965367965369,0.11921125314439883
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),severity_only,logreg_balanced,368,368,45,323,2,cdr_sumboxes_h|faq_total_h,,0.7987366452991452,0.10005938710004612,0.6041777971296309,0.11160217379656948,0.7594417735042734,0.0777050597239724,0.5676190476190476,0.10956107026637622
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),severity_only,extra_trees_balanced,368,368,45,323,2,cdr_sumboxes_h|faq_total_h,,0.7755822649572649,0.0983517704943273,0.5516383157858683,0.10216856995041829,0.7850106837606837,0.08903050548933167,0.5860606060606062,0.11915835856915885
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),minus_all_cdr,logreg_balanced,368,368,45,323,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|faq_total_h,sex_h,0.864241452991453,0.03699031473871613,0.5186421988363517,0.10902439759912837,0.7769364316239317,0.05313821205809321,0.47682676224611703,0.0671147548809007
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),minus_all_cdr,extra_trees_balanced,368,368,45,323,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|faq_total_h,sex_h,0.8443963675213675,0.036264988173066254,0.4725849327851056,0.11767959625087013,0.7801095085470087,0.03955289742484266,0.4814688603410713,0.052170912416992274
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),minus_all_cdr,random_forest_balanced,368,368,45,323,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|faq_total_h,sex_h,0.8364529914529915,0.03239372969870596,0.41859696615733766,0.06446212774299971,0.6257986111111111,0.04093832556609069,0.3282931867399633,0.06991818199962202
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),minus_faq,logreg_balanced,368,368,45,323,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h,sex_h,0.9324786324786324,0.02708277490615985,0.6990137361112779,0.06052613967390269,0.8428899572649573,0.06557912227947701,0.5885942760942761,0.0785577248623057
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),minus_faq,random_forest_balanced,368,368,45,323,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h,sex_h,0.9052884615384615,0.02534804122225711,0.5748782950795335,0.0342862939003444,0.7648904914529915,0.07039273537709106,0.5163458110516934,0.0886576900557308
oasis3_tau180,OASIS3 tau180,OASIS3,180d,tau_binary,tau positivity (derived),minus_faq,extra_trees_balanced,368,368,45,323,6,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h,sex_h,0.8956837606837607,0.024128337444874866,0.5809201814418904,0.0906553697907909,0.8191292735042734,0.0196431944688237,0.5679595766552288,0.05315668348679825
