cohort_key,cohort_label,cohort,window,endpoint_family,endpoint_label,experiment,model,n_rows,n_subjects,n_pos,n_neg,n_features_used,numeric_features_used,categorical_features_used,roc_auc_mean,roc_auc_std,ap_mean,ap_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
adni_tau90,ADNI tau90,ADNI,90d,tau_binary,tau positivity,reference_combined,logreg_balanced,438,438,78,360,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.8512152777777777,0.06280293525201558,0.6004447118495222,0.08503757813499857,0.7948611111111111,0.06699801913415973,0.5900149979219746,0.07740833413867998
adni_tau90,ADNI tau90,ADNI,90d,tau_binary,tau positivity,reference_combined,random_forest_balanced,438,438,78,360,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.8442708333333334,0.0568737681509372,0.5350179692489894,0.05553211844407616,0.7625,0.08168626937826373,0.5651246554472361,0.1031508939202287
adni_tau90,ADNI tau90,ADNI,90d,tau_binary,tau positivity,reference_combined,extra_trees_balanced,438,438,78,360,7,age_h|apoe_e4_carrier_h|apoe_e4_count_h|education_years_h|cdr_sumboxes_h|faq_total_h,sex_h,0.8184837962962963,0.07182028281942841,0.5715103348367309,0.07090868673384201,0.7476388888888889,0.08215556607459433,0.5309750442397798,0.10296815308444626
