cohort_key,cohort_label,cohort,window,endpoint_family,endpoint_label,experiment,model,n_rows,n_subjects,n_pos,n_neg,n_features_used,numeric_features_used,categorical_features_used,roc_auc_mean,roc_auc_std,ap_mean,ap_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
adni_tau90,ADNI tau90,ADNI,90d,tau_binary,tau positivity,severity_only,logreg_balanced,438,438,78,360,2,cdr_sumboxes_h|faq_total_h,,0.8378240740740741,0.05427028720904816,0.5312591762188762,0.06982535651963816,0.7579166666666668,0.04654871005094994,0.5522222222222222,0.05964199906446924
adni_tau90,ADNI tau90,ADNI,90d,tau_binary,tau positivity,severity_only,random_forest_balanced,438,438,78,360,2,cdr_sumboxes_h|faq_total_h,,0.837673611111111,0.06693495529236253,0.5186459416082522,0.05285465500285972,0.7793055555555556,0.04331997657398227,0.5377243430354444,0.04671611614501402
adni_tau90,ADNI tau90,ADNI,90d,tau_binary,tau positivity,severity_only,extra_trees_balanced,438,438,78,360,2,cdr_sumboxes_h|faq_total_h,,0.8375694444444445,0.06394632090934055,0.5259644447452624,0.10234040809803664,0.763888888888889,0.06629089699718478,0.5167843411140333,0.07110060930684366
